review,rating,date,bank,source,sentiment_score,sentiment_label,themes
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,0.6701,positive,Security
Good application,4,2025-11-27,CBE,Google Play,0.4404,positive,Other
It is nice app,5,2025-11-26,CBE,Google Play,0.4215,positive,Other
best,5,2025-11-25,CBE,Google Play,0.6369,positive,Other
good app,5,2025-11-25,CBE,Google Play,0.4404,positive,Other
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,-0.8746,negative,Other
nice app...,5,2025-11-25,CBE,Google Play,0.4215,positive,Other
very good banking service and fast service,5,2025-11-24,CBE,Google Play,0.4927,positive,Customer Support
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,0.6808,positive,Customer Support
good,5,2025-11-24,CBE,Google Play,0.4404,positive,Other
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,0.0,neutral,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,0.0,neutral,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,0.0,neutral,Other
wow,5,2025-11-23,CBE,Google Play,0.5859,positive,Other
nice,5,2025-11-22,CBE,Google Play,0.4215,positive,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,0.0,neutral,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,0.7395,positive,Other
excellent,5,2025-11-22,CBE,Google Play,0.5719,positive,Other
ዳጊ,5,2025-11-21,CBE,Google Play,0.0,neutral,Other
absolutely right,5,2025-11-21,CBE,Google Play,0.0,neutral,Other
mid application it's so annoying,3,2025-11-20,CBE,Google Play,-0.541,negative,Other
I used morethan one year,4,2025-11-20,CBE,Google Play,0.0,neutral,Other
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,0.1531,positive,Other
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,0.8519,positive,Other
Nice,5,2025-11-19,CBE,Google Play,0.4215,positive,Other
suckkkks,1,2025-11-19,CBE,Google Play,0.0,neutral,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,0.0,neutral,Transactions
I love you this app,5,2025-11-19,CBE,Google Play,0.6369,positive,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,0.7003,positive,Other
make life easy,5,2025-11-19,CBE,Google Play,0.4404,positive,Other
securr,5,2025-11-19,CBE,Google Play,0.0,neutral,Other
My most optional bank,5,2025-11-17,CBE,Google Play,0.0,neutral,Other
5 star,5,2025-11-17,CBE,Google Play,0.0,neutral,Other
it is fantastic app.,5,2025-11-16,CBE,Google Play,0.5574,positive,Other
sifen,5,2025-11-16,CBE,Google Play,0.0,neutral,Other
i like this√,4,2025-11-16,CBE,Google Play,0.3612,positive,Other
Ok,3,2025-11-16,CBE,Google Play,0.296,positive,Other
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play,-0.3818,negative,Security
